image_path,label
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01795545/n01795545_5545.JPEG,5
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01675722/n01675722_1729.JPEG,1
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_35121.JPEG,3
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01818515/n01818515_13599.JPEG,7
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_12032.JPEG,3
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01755581/n01755581_1841.JPEG,9
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_21821.JPEG,3
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_39854.JPEG,3
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01675722/n01675722_4139.JPEG,1
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_5288.JPEG,3
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01774750/n01774750_13275.JPEG,2
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01675722/n01675722_6248.JPEG,1
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01795545/n01795545_3488.JPEG,5
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01774750/n01774750_2411.JPEG,2
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01770081/n01770081_2999.JPEG,4
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01697457/n01697457_3527.JPEG,6
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01775062/n01775062_1468.JPEG,8
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01795545/n01795545_14766.JPEG,5
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01775062/n01775062_3465.JPEG,8
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01697457/n01697457_386.JPEG,6
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01775062/n01775062_3132.JPEG,8
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01755581/n01755581_12979.JPEG,9
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01774750/n01774750_13737.JPEG,2
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01622779/n01622779_3003.JPEG,0
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01622779/n01622779_3722.JPEG,0
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_5183.JPEG,3
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01775062/n01775062_8239.JPEG,8
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01795545/n01795545_4941.JPEG,5
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_4548.JPEG,3
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01775062/n01775062_3366.JPEG,8
/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_11811.JPEG,3
