walk_id,hierarchy_path,chosen_wnid,chosen_image
1,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-amphibian-salamander-newt-eft,n01631663,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01631663/n01631663_17825.JPEG
2,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-hen,n01514859,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01514859/n01514859_18087.JPEG
3,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-bird_of_prey-vulture,n01616318,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01616318/n01616318_24132.JPEG
4,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-parrot-African_grey,n01817953,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01817953/n01817953_12174.JPEG
5,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-ratite-ostrich,n01518878,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_763.JPEG
6,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-reptile-anapsid-chelonian-turtle-terrapin,n01667778,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01667778/n01667778_11075.JPEG
7,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-cartilaginous_fish-elasmobranch-ray-stingray,n01498041,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01498041/n01498041_6458.JPEG
8,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-passerine-oscine-corvine_bird-magpie,n01582220,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01582220/n01582220_9278.JPEG
9,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-goldfish,n01443537,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_16482.JPEG
10,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-ratite-ostrich,n01518878,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_20433.JPEG
11,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-bird_of_prey-owl-great_grey_owl,n01622779,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01622779/n01622779_17538.JPEG
12,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-amphibian-frog-true_frog-bullfrog,n01641577,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01641577/n01641577_16486.JPEG
13,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-goldfish,n01443537,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_1330.JPEG
14,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-passerine-oscine-finch-junco,n01534433,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01534433/n01534433_11716.JPEG
15,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-parrot-macaw,n01818515,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01818515/n01818515_10944.JPEG
16,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-bird_of_prey-eagle-bald_eagle,n01614925,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01614925/n01614925_2318.JPEG
17,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-bird_of_prey-vulture,n01616318,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01616318/n01616318_1708.JPEG
18,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-gallinaceous_bird-game_bird-phasianid-pheasant-peafowl-peacock,n01806143,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01806143/n01806143_10590.JPEG
19,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-goldfish,n01443537,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_10213.JPEG
20,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-ratite-ostrich,n01518878,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_2593.JPEG
21,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-ratite-ostrich,n01518878,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_3941.JPEG
22,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-ratite-ostrich,n01518878,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_31833.JPEG
23,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-cartilaginous_fish-elasmobranch-ray-stingray,n01498041,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01498041/n01498041_5746.JPEG
24,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-goldfish,n01443537,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_17842.JPEG
25,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-cartilaginous_fish-elasmobranch-ray-stingray,n01498041,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01498041/n01498041_1582.JPEG
26,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-ratite-ostrich,n01518878,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_3110.JPEG
27,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-gallinaceous_bird-game_bird-grouse-ruffed_grouse,n01797886,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01797886/n01797886_11253.JPEG
28,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-ratite-ostrich,n01518878,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_40886.JPEG
