walk_id,hierarchy_path,chosen_wnid,chosen_image
1,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-bird_of_prey-owl-great_grey_owl,n01622779,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01622779/n01622779_7287.JPEG
2,entity-physical_entity-object-whole-living_thing-organism-animal-invertebrate-arthropod-trilobite,n01768244,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01768244/n01768244_612.JPEG
3,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-cartilaginous_fish-elasmobranch-shark-requiem_shark-tiger_shark,n01491361,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01491361/n01491361_6576.JPEG
4,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-reptile-diapsid-saurian-lizard-lacertid_lizard-green_lizard,n01693334,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01693334/n01693334_10633.JPEG
5,entity-physical_entity-object-whole-living_thing-organism-animal-invertebrate-arthropod-trilobite,n01768244,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01768244/n01768244_5124.JPEG
6,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-bird_of_prey-hawk-kite,n01608432,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01608432/n01608432_11792.JPEG
7,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-goldfish,n01443537,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_20662.JPEG
8,entity-physical_entity-object-whole-living_thing-organism-animal-invertebrate-arthropod-trilobite,n01768244,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01768244/n01768244_454.JPEG
9,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-reptile-diapsid-snake-constrictor-boa-boa_constrictor,n01742172,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01742172/n01742172_17103.JPEG
10,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-goldfish,n01443537,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_3037.JPEG
11,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-gallinaceous_bird-game_bird-phasianid-pheasant-peafowl-peacock,n01806143,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01806143/n01806143_9602.JPEG
12,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-cartilaginous_fish-elasmobranch-ray-stingray,n01498041,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01498041/n01498041_10516.JPEG
13,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-cartilaginous_fish-elasmobranch-ray-stingray,n01498041,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01498041/n01498041_17862.JPEG
